time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1714762798055691800,4614.064691894531,45,0.2362530678510666,1.949862003326416,8.234000205993652,1.3239551782608032,67.18675994873047,136.3000030517578,-77.6771877,43.0850987
1714762798574370600,4614.583370605469,45,0.21334262192249298,1.949862003326416,8.239999771118164,1.3161901235580444,58.30264663696289,136.3000030517578,-77.6771791,43.0851018
1714762799361505300,4615.370505371094,45,0.25531110167503357,1.9517018795013428,8.093000411987305,1.3436546325683594,39.988643646240234,136.3000030517578,-77.677168,43.0851083
1714762799730746000,4615.73974609375,45,0.2353975474834442,1.9517018795013428,8.149999618530273,1.3824353218078613,31.14950942993164,136.3000030517578,-77.6771639,43.0851128
1714762800401749500,4616.410749511719,45,0.19425424933433533,2.0078847408294678,8.293000221252441,1.368262767791748,17.89773178100586,136.3000030517578,-77.6771589,43.0851208
1714762800891865600,4616.900865478516,45,0.23184669017791748,2.0078847408294678,8.397000312805176,1.3538323640823364,12.245756149291992,136.3000030517578,-77.6771571,43.0851273
1714762801693117700,4617.702117675782,45,0.21779347956180573,1.8710964918136597,8.505000114440918,1.314962387084961,8.957564353942871,136.3000030517578,-77.6771549,43.0851376
1714762802049458200,4618.058458251953,45,0.2544524371623993,1.8710964918136597,8.571000099182129,1.3017412424087524,7.3987555503845215,136.3000030517578,-77.6771543,43.0851422
1714762802852646700,4618.861646728516,45,0.22367717325687408,1.8838739395141602,8.758000373840332,1.293829083442688,3.788135528564453,136.3000030517578,-77.677153,43.0851532
1714762803229817300,4619.238817382812,45,0.2678365707397461,1.8838739395141602,8.88700008392334,1.2920961380004883,2.318563461303711,136.3000030517578,-77.6771528,43.0851585
1714762803672812500,4619.6818125,45,0.18409860134124756,1.2196276187896729,8.961000442504883,1.3043404817581177,0.7075467109680176,136,-77.6771526,43.0851638
1714762804030695700,4620.039695800781,45,0.23864014446735382,1.2196276187896729,8.944999694824219,1.3045662641525269,358.35748291015625,136,-77.6771598,43.0851708
1714762804351513300,4620.360513427734,45,0.27559489011764526,1.2196276187896729,8.883999824523926,1.3164112567901611,358.3525390625,136,-77.6771635,43.0851755
1714762805171389700,4621.180389648437,45,0.23369267582893372,1.2620030641555786,8.888999938964844,1.3186200857162476,359.7975769042969,136,-77.677167,43.0851869
1714762805491083800,4621.500083740234,45,0.22309637069702148,1.2620030641555786,8.864999771118164,1.3208448886871338,0.5854827165603638,136,-77.6771688,43.0851919
1714762806251664600,4622.260664550781,45,0.25672149658203125,1.2788500785827637,8.854999542236328,1.3201169967651367,0.38998696208000183,136,-77.6771699,43.0852022
1714762806630175700,4622.63917578125,45,0.2303430140018463,1.2788500785827637,8.861000061035156,1.3347991704940796,359.8892517089844,136,-77.6771705,43.0852079
1714762807751674600,4623.760674560547,45,0.23747192323207855,1.3841136693954468,8.869999885559082,1.3417937755584717,358.7249755859375,136,-77.6771704,43.0852227
1714762808549390800,4624.558390869141,45,0.1888948231935501,1.0757286548614502,8.873000144958496,1.334159016609192,359.19000244140625,136.1999969482422,-77.67717,43.0852329
1714762808933901000,4624.942901123047,45,0.23659922182559967,1.0757286548614502,8.786999702453613,1.3336331844329834,1.6205674409866333,136.1999969482422,-77.6771641,43.0852386
1714762809710797800,4625.719797851562,45,0.22212551534175873,1.3276032209396362,8.99899959564209,1.3396424055099487,2.756633758544922,136.1999969482422,-77.6771599,43.0852486
1714762810097206800,4626.106206787109,45,0.2562501132488251,1.3276032209396362,9.059000015258789,1.3429316282272339,2.714942693710327,136.1999969482422,-77.6771577,43.0852537
1714762811237830400,4627.246830322266,45,0.26059257984161377,1.4243433475494385,9.371000289916992,1.3125522136688232,0.913689911365509,136.1999969482422,-77.677157,43.0852687
1714762812418001200,4628.4270012207035,45,0.1905326545238495,1.4271267652511597,9.744000434875488,1.297278881072998,4.256406784057617,136.1999969482422,-77.6771572,43.0852844
1714762813561684200,4629.570684326171,45,0.2351183444261551,1.4674739837646484,10.071999549865723,1.2617517709732056,20.272480010986328,136.1999969482422,-77.6771549,43.0852991
1714762814402809300,4630.411809326172,45,0.19455848634243011,1.310553789138794,10.182000160217285,1.2493958473205566,36.92021179199219,136.1999969482422,-77.6771406,43.0853057
1714762814758227700,4630.767227783203,45,0.239951491355896,1.310553789138794,10.248000144958496,1.2555903196334839,44.81085205078125,136.1999969482422,-77.6771332,43.085308
1714762815550095600,4631.559095703125,45,0.19783934950828552,1.298904299736023,10.340999603271484,1.2410832643508911,58.39181137084961,136.1999969482422,-77.6771223,43.0853135
1714762815956110300,4631.9651103515625,45,0.2523882985115051,1.298904299736023,10.326000213623047,1.2603205442428589,71.15137481689453,136.1999969482422,-77.6771153,43.0853152
1714762816769067000,4632.778066894532,45,0.21746496856212616,1.2816203832626343,10.343999862670898,1.1964951753616333,90.26679992675781,136.1999969482422,-77.6771025,43.0853173
1714762817254963000,4633.263962890625,45,0.25512582063674927,1.2816203832626343,10.357999801635742,1.195655107498169,96.08643341064453,136.1999969482422,-77.6770946,43.0853167
1714762817879582000,4633.88858203125,45,0.23753486573696136,1.2627249956130981,10.28499984741211,1.1981507539749146,94.28636932373047,136.1999969482422,-77.6770855,43.0853158
1714762818440809200,4634.449809326172,45,0.19962365925312042,1.2627249956130981,10.291000366210938,1.2096316814422607,93.0733642578125,136.1999969482422,-77.6770773,43.0853155
1714762818540419600,4634.5494196777345,45,0.19962365925312042,1.2115556001663208,10.298999786376953,1.209577202796936,92.92253875732422,136.3000030517578,-77.6770769,43.0853155
1714762818897873700,4634.906873779297,45,0.24135009944438934,1.2115556001663208,10.118000030517578,1.2024513483047485,92.23774719238281,136.3000030517578,-77.6770711,43.0853151
1714762819258177500,4635.267177490235,45,0.24135009944438934,1.2115556001663208,10.08899974822998,1.2021043300628662,91.6562728881836,136.3000030517578,-77.6770663,43.0853148
1714762819912730600,4635.921730712891,45,0.24323201179504395,1.2977474927902222,10.133000373840332,1.2180850505828857,92.7472152709961,136.3000030517578,-77.6770562,43.0853143
1714762820309227000,4636.318227050781,45,0.27641794085502625,1.2977474927902222,10.093000411987305,1.2201578617095947,93.20849609375,136.3000030517578,-77.6770499,43.085314
